,company,title,date,salary,workingform,target,position,experience,sex,city
638,WEB DEVELOPER,CÔNG TY CỔ PHẦN CÔNG NGHỆ QUỐC TẾ MH SOLUTION,03/06/2021,10-15 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
639,WEB DEVELOPER,CÔNG TY CỔ PHẦN LIFORTE VIỆT NAM,03/06/2021,10-20 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
640,Bệnh viện Đa khoa Tâm Anh,,03/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
641,NHÂN VIÊN KINH DOANH,CÔNG TY TNHH VANOKA VIỆT NAM,02/08/2021,Tới 25 triệu,Toàn thời gian,5 người,Trưởng nhóm,Dưới 1 năm,Không yêu cầu,Hà Nội
642,Công Ty Cổ Phần New Rice,,03/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hưng Yên
643,LẬP TRÌNH VIÊN REACT NATIVE,Phần mềm Ninja,"9/06/2021
",12-20 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
644,NHÂN VIÊN TELESALES,Công ty cổ phần Flextech,03/07/2021,8-15 triệu,Toàn thời gian,4 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
645,LẬP TRÌNH VIÊN JAVA,Công ty cổ phần Hitex Toàn Cầu,03/06/2021,Trên 25 triệu,Toàn thời gian,10 người,Trưởng nhóm,3 năm,Không yêu cầu,Hà Nội
646,NHÂN VIÊN IT,Công ty cổ phần Dược phẩm Công nghệ cao Abipha,03/06/2021,Tới 12 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Nam,Chương Mỹ
647,Tek experts Vietnam,,03/07/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
648,GRAPHIC DESIGNER,CÔNG TY CỔ PHẦN CÔNG NGHỆ TECHLAB,03/06/2021,Tới 20 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
649,NHÂN VIÊN SEO,Công Ty Cổ Phần Global Online Branding,03/06/2021,7-10 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
650,CÔNG TY CỔ PHẦN CÔNG NGHỆ TECHLAB,,03/06/2021,Thoả thuận,Toàn thời gian,1 người,Trưởng nhóm,2 năm,Không yêu cầu,Hà Nội
651,NHÂN VIÊN IT,CÔNG TY TNHH GIÁO DỤC LEADING PERFORMANCE,06/06/2021,9-13 triệu,Toàn thời gian,3 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
652,Azoom VietNam Inc,,03/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
653,TESTER,Công ty Cổ phần 9Pay,06/06/2021,Tới 25 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
654,UI/UX DESIGNER,Công ty Cổ phần 9Pay,03/06/2021,Tới 25 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
655,REACT NATIVE DEVELOPER,CTY CỔ PHẦN RIKKEISOFT - CN HỒ CHÍ MINH,05/06/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
656,NHÂN VIÊN KIỂM THỬ PHẦN MỀM,CÔNG TY TNHH HASAKI BEAUTY & S.P.A,30/06/2021,Tới 15 triệu,Toàn thời gian,6 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
657,JAVA DEVELOPER,Công ty CP MindBank Group,03/06/2021,16-35 triệu,Toàn thời gian,10 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
658,TESTER,Công ty TNHH Giải pháp Công nghệ B&T Việt Nam,05/06/2021,9-16 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
659,DIGITAL MARKETING,CÔNG TY CỔ PHẦN BIFIDO VINA,"3/06/2021
",10-20 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
660,THỰC TẬP SINH,Công ty cổ phần chứng khoán FPT,03/06/2021,Thoả thuận,Thực tập,Không giới hạn,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
661,THỰC TẬP SINH,Công ty cổ phần chứng khoán FPT,03/06/2021,Thoả thuận,Thực tập,5 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
662,LẬP TRÌNH WEB,Công ty cổ phần chứng khoán FPT,03/06/2021,Thoả thuận,Thực tập,3 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
663,DEVELOPER,CÔNG TY CỔ PHẦN CÔNG NGHỆ 905 VIỆT NAM,23/05/2021,Tới 20 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
664,NHÂN VIÊN PHÁT TRIỂN THỊ TRƯỜNG,Công ty Cổ phần Công nghệ Getfly Việt Nam,03/07/2021,Trên 10 triệu,Toàn thời gian,3 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
665,PHP,CÔNG TY TNHH TƯ VẤN GIÁO DỤC QUỐC TẾ IECS,03/07/2021,Thoả thuận,Thực tập,3 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
666,DEVELOPER,Công ty Cổ phần Đầu tư Thương mại Phát triển Nhất Tín (Nhất Tín Logistics),03/06/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
667,NHÂN VIÊN MARKETING,Công ty TNHH Thương Mại Tuấn Giang,03/06/2021,12-20 triệu,Toàn thời gian,1 người,Trưởng nhóm,2 năm,Không yêu cầu,Hà Nội
668,MOBILE DEVELOPER,Công Ty Cổ Phần Digi Dinos,03/06/2021,Tới 25 triệu,Toàn thời gian,3 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
669,TESTER,Công ty cổ phần kinh doanh công nghệ Open Techiz,03/06/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
670,PHP DEVELOPER,Apps Cyclone,03/06/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
671,NHÂN VIÊN KIỂM THỬ PHẦN MỀM,TỔNG CÔNG TY CỔ PHẦN BƯU CHÍNH VIETTEL,03/06/2021,15-25 triệu,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
672,PHÂN TÍCH NGHIỆP VỤ,TỔNG CÔNG TY CỔ PHẦN BƯU CHÍNH VIETTEL,13/06/2021,15-30 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
673,DEVELOPER,Công ty CP Hóa dầu Me Kong,03/06/2021,14-20 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Nam,Hồ Chí Minh
674,NHÂN VIÊN KINH DOANH,Công ty TNHH Máy tính và Viễn thông An Khang,03/06/2021,8-12 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Nam,Hà Nội
