,company,title,date,salary,workingform,target,position,experience,sex,city
143,NHÂN VIÊN MARKETING,ABALI,07/06/2021,6-20 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Nam,Hà Nội
144,SALES ADMIN,CÔNG TY CP GIẢI PHÁP CNTT LỘ TRÌNH - AVENUE JSC,31/05/2021,7-10 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Nữ,Quận 7
145,Học Viện Công Nghệ Bưu Chính Viễn Thông,,19/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
146,MOBILE DEVELOPER,Công Ty TNHH HEBELA TRADING TOÀN CẦU,07/06/2021,Tới 30 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
147,THỰC TẬP SINH,Công ty Cổ phần MISA,30/06/2021,Thoả thuận,Thực tập,1 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
148,LẬP TRÌNH VIÊN,Công ty Cổ phần đầu tư phát triển công nghệ ứng dụng Toàn Cầu (Hyperlogy),07/06/2021, Tới 25 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
149,NHÂN VIÊN TELESALES,Công ty cổ phần phần mềm MeKong,07/06/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,2 năm,Nữ,Kiên Giang
150,TRƯỞNG NHÓM KINH DOANH,CÔNG TY CP GIẢI PHÁP CNTT LỘ TRÌNH - AVENUE JSC,31/05/2021,Trên 13 triệu,Toàn thời gian,1 người,Quản lý / Giám sát,3 năm,Không yêu cầu,Quận 7
151,NHÂN VIÊN KINH DOANH,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,07/06/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
152,UI/UX DESIGNER,Công ty Cổ phần tập đoàn Công nghệ Thăng Long,07/06/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
153,DIGITAL MARKETING,CÔNG TY CỔ PHẦN TẬP ĐOÀN GIẢI PHÁP VIỆT NAM,07/06/2021,10-15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
154,ASP.NET,Công ty TNHH Đào tạo Tư vấn Thăng Long,07/06/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Nam,Hà Nội
155,"HERAMO CO., LTD",,"7/06/2021
",2-5 triệu,Bán thời gian,1 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
156,"HERAMO CO., LTD",,07/06/2021,2-5 triệu,Bán thời gian,1 người,Giám đốc,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
157,LẬP TRÌNH VIÊN PHP,CÔNG TY TNHH TOYO SYSTEM & NIKKOKU VIETNAM,31/05/2021,Trên 8 triệu,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
158,DIGITAL MARKETING,Công Ty TNHH Thiết Bị Máy Tính Hà Nội Lab,16/07/2021,9-30 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
159,BACKEND ENGINEER,AHAMOVE - Người vận chuyển của bạn,07/06/2021,Tới 30 triệu,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
160,LẬP TRÌNH VIÊN MOBILE,Công ty CP Công nghệ Cyber Eye,05/08/2021,12-20 triệu,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
161,DEVELOPER,Nhà hàng Lẩu Phan,06/06/2021,15-20 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Nam,Hà Nội
162,TESTER,Citigo,06/06/2021,Thoả thuận,Toàn thời gian,1 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
163,Công ty CP Công nghệ Cyber Eye,,05/08/2021,12-20 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
164,FACEBOOK ADS,CÔNG TY CỔ PHẦN TẬP ĐOÀN GCO,06/06/2021,10-15 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
165,BACKEND DEVELOPER,CÔNG TY CỔ PHẦN TẬP ĐOÀN GCO,06/06/2021,12-20 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Đà Nẵng
166,FRONTEND DEVELOPER,Azoom VietNam Inc,06/06/2021,13-35 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
167,FRONTEND DEVELOPER,CÔNG TY CỔ PHẦN TẬP ĐOÀN GCO,06/06/2021,12-20 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Đà Nẵng
168,Công ty Cổ phần 9Pay,,06/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
169,CÔNG TY CỔ PHẦN CÔNG NGHỆ TECHLAB,,06/06/2021,Thoả thuận,Toàn thời gian,1 người,Trưởng nhóm,1 năm,Không yêu cầu,Hà Nội
170,LẬP TRÌNH VIÊN .NET,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,06/06/2021,Tới 25 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
171,QUALITY ASSURANCE,Splus Software,06/06/2021,8-13 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Nữ,Hồ Chí Minh
172,PHP DEVELOPER,CTY CỔ PHẦN MYSPA,06/07/2021,10-30 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
173,NHÂN VIÊN MARKETING,CTY CỔ PHẦN MYSPA,06/07/2021,6-13 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
174,NHÂN VIÊN MARKETING,CÔNG TY CỔ PHẦN DỊCH VỤ T-VAN HILO,16/06/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
175,NHÂN VIÊN MARKETING,MAAS EDUCATION TECHNOLOGY,31/05/2021,13-15 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
176,LẬP TRÌNH VIÊN PHP,Công ty Cổ phần Công nghệ Thông tin HMD,16/05/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
177,NHÂN VIÊN IT,CÔNG TY TNHH CATHAYLIFE VIETNAM,06/06/2021,9-15 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
178,FPT Software,,06/06/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Không yêu cầu,Hà Nội
179,Daframes Analytics,,15/06/2021,Trên 18 triệu,Remote - Làm việc từ xa,2 người,Nhân viên,3 năm,Không yêu cầu,Hồ Chí Minh
180,LẬP TRÌNH WEB,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI NGÔI SAO VÀNG,06/06/2021,Tới 20 triệu,Toàn thời gian,3 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
181,PHP,"Cube System Vietnam Co., Ltd",06/06/2021,Tới 20 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
182,NHÂN VIÊN KINH DOANH,Công ty Cổ phần Xuất khẩu phần mềm Tinh Vân Outsourcing,06/06/2021, Tới 30 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
183,TRƯỞNG PHÒNG KINH DOANH,CÔNG TY TNHH SẢN XUẤT VÀ DỊCH VỤ CMC,06/06/2021,Trên 25 triệu,Toàn thời gian,1 người,Trưởng/Phó phòng,4 năm,Không yêu cầu,Hà Nội
184,NHÂN VIÊN MARKETING,CÔNG TY TNHH NHẬT LINH ĐÀ NẴNG,06/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Cẩm Lệ
185,Công ty Cổ phần Công nghệ Bota,,21/07/2021,8-20 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
186,NHÂN VIÊN KINH DOANH,CÔNG TY CỔ PHẦN GIẢI PHÁP HACODE,06/06/2021,Trên 6 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
187,LẬP TRÌNH VIÊN JAVASCRIPT,Công ty TNHH ICTS,06/06/2021,Tới 35 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
188,TESTER,"Nextop Co., Ltd",06/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
189,"Nextop Co., Ltd",,06/06/2021,Tới 12 triệu,Toàn thời gian,1 người,Nhân viên,Không yêu cầu,Nam,Hà Nội
190,CÔNG TY CỔ PHẦN DỊCH VỤ T-VAN HILO,,06/06/2021,Trên 13 triệu,Toàn thời gian,1 người,Trưởng nhóm,1 năm,Không yêu cầu,Hà Nội
191,NHÂN VIÊN MARKETING,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ LIFESTYLE VIỆT NAM,16/06/2021,Trên 8 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
192,NHÂN VIÊN KINH DOANH,Công Ty TNHH MTV Viễn Thông Quốc Tế FPT,06/06/2021,8-30 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
193,UI/UX,Công ty Cổ phần đầu tư và phát triển nha khoa Yteeth,06/06/2021,8-15 triệu,Toàn thời gian,1 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
194,LẬP TRÌNH VIÊN,CÔNG TY CỔ PHẦN VNP GROUP,06/06/2021,Tới 23 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
195,NHÂN VIÊN KIỂM THỬ PHẦN MỀM,CÔNG TY CỔ PHẦN VNP GROUP,10/06/2021,8-12 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
196,CONTENT MARKETING,CÔNG TY CỔ PHẦN KAROFI HOLDING,06/06/2021,Trên 13 triệu,Toàn thời gian,Không giới hạn,Nhân viên,3 năm,Không yêu cầu,Hà Nội
197,REACTJS,Công ty cổ phần Công nghệ Haravan,06/06/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
198,TESTER,Công ty TNHH Linagora,06/06/2021,Tới 23 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
199,Công ty TNHH Linagora,,06/06/2021,Tới 70 triệu,Toàn thời gian,1 người,Trưởng/Phó phòng,6 năm,Không yêu cầu,Hà Nội
200,PHP DEVELOPER,Công ty TNHH Đầu tư và Phát triển Công nghệ Tương Lai (NEXTTECH GROUP),06/06/2021,10-20 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
201,JAVA DEVELOPER,Công ty TNHH Đầu tư và Phát triển Công nghệ Tương Lai (NEXTTECH GROUP),06/06/2021,12-25 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
202,CÔNG TY CỔ PHẦN VNP GROUP,,06/06/2021,"Tới 18 triệu
",Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
203,NHÂN VIÊN QUẢN TRỊ MẠNG,VPĐD CÔNG TY CỔ PHẦN MISA TẠI TP. HCM,13/05/2021,9-11 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Nam,Hồ Chí Minh
204,DAC Data Science Vietnam,,06/06/2021,Tới 55 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
205,PROJECT MANAGER,"Công ty TNHH Phát Triển Đông Nam Á (Seadev Co., Ltd.)",12/05/2021,Trên 23 triệu,Toàn thời gian,1 người,Trưởng/Phó phòng,3 năm,Không yêu cầu,Đà Nẵng
206,"Công ty TNHH Phát Triển Đông Nam Á (Seadev Co., Ltd.)",,31/05/2021,10-15 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Đà Nẵng
207,DESIGNER,"Công ty TNHH Phát Triển Đông Nam Á (Seadev Co., Ltd.)",31/05/2021,Thoả thuận,Bán thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Đà Nẵng
208,Công ty cổ phần mạng trực tuyến META,,20/05/2021,Trên 7 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
209,GRAPHIC DESIGNER,CÔNG TY TNHH DY KIDS,31/05/2021,12-15 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
210,TESTER,Công ty TNHH Nippon Steel Metal Products Vietnam,17/06/2021,Tới 10 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
211,WEB DEVELOPER,SONG TECHNOLOGIES - DEVSOFT VIETNAM LTD,16/06/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
212,PHP DEVELOPER,Công ty Cổ phần VNEXT SOFTWARE,06/06/2021,Tới 35 triệu,Toàn thời gian,1 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
213,CHUYÊN VIÊN PHÂN TÍCH,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,06/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
214,NHÂN VIÊN KỸ THUẬT,Công ty TNHH Thiết bị văn phòng số 1 Thanh Xuân,06/06/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Nam,Hà Nội
215,CÔNG TY TNHH RABILOO,,06/06/2021,7-15 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
216,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ ĐỊA ỐC ĐẤT XANH MIỀN BẮC,,06/06/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
217,NODEJS,CÔNG TY TNHH MỘT THÀNH VIÊN SÂN MÂY,06/06/2021,10-20 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
218,JAVA DEVELOPER,CÔNG TY TNHH CÔNG NGHỆ VIHAT,26/05/2021,Tới 12 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
219,LẬP TRÌNH VIÊN,CÔNG TY TNHH CÔNG NGHỆ VIHAT,26/05/2021,Tới 20 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
220,BACKEND DEVELOPER,CÔNG TY TNHH CÔNG NGHỆ VIHAT,19/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
221,Công ty Cổ phần Truyền thông VMG,,30/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
222,Công ty Cổ phần Truyền thông VMG,,"0/06/2021
",Thoả thuận,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
223,NHÂN VIÊN IT,công ty Cổ Phần Yến sào Nha Trang,06/06/2021,8-10 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Nam,Hồ Chí Minh
224,Công ty Cổ phần Truyền thông VMG,,30/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
225,JAVA,Công ty Cổ phần Truyền thông VMG,"0/06/2021
","Thoả thuận
",Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
226,Công ty Cổ phần Truyền thông VMG,30/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội,
227,AI ENGINEER,Công ty cổ phần thương mại và chuyển phát nhanh Nội Bài - NETCO,06/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
228,GIÁO VIÊN,CÔNG TY CỔ PHẦN CÔNG NGHỆ & SÁNG TẠO TRẺ TEKY HOLDINGS,06/06/2021,13-18 triệu,Toàn thời gian,5 người,Trưởng nhóm,2 năm,Không yêu cầu,Hà Nội
229,REACT NATIVE DEVELOPER,Công ty TNHH CMC GLOBAL,06/06/2021,18-25 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
230,IOS DEVELOPER,Công ty TNHH CMC GLOBAL,06/06/2021,18-27 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
231,NHÂN VIÊN KINH DOANH,Công Ty Cổ Phần Thương Mại và Dịch Vụ Phúc Đại An,06/07/2021,8-20 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
232,BACKEND DEVELOPER,Công ty TNHH CMC GLOBAL,06/06/2021,18-26 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
233,JAVASCRIPT,Công ty TNHH CMC GLOBAL,06/06/2021,18-26 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
234,DESIGNER,CÔNG TY TNHH TOP SOFTWARE,06/07/2021,Tới 12 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Đà Nẵng
235,SOFTWARE ENGINEER,Công ty Cổ phần MOG Việt Nam,06/06/2021,Thoả thuận,Thực tập,2 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
236,ANDROID DEVELOPER,CÔNG TY CỔ PHẦN IKAME VIỆT NAM,19/05/2021,Tới 12 triệu,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
237,SOFTWARE ENGINEER,Công ty Cổ phần MOG Việt Nam,"6/06/2021
",Tới 15 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Nam,Hà Nội
238,ANDROID,Công ty Cổ phần JVB Việt Nam,07/07/2021,Tới 23 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
239,BACKEND DEVELOPER,FPT Software,06/06/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
240,FPT Software,,06/06/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
241,SOFTWARE ENGINEER,FPT Software,10/06/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
242,CUSTOMER SERVICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ 905 VIỆT NAM,16/06/2021,Trên 8 triệu,Toàn thời gian,1 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
243,DIGITAL MARKETING,CÔNG TY TNHH DƯỢC PHẨM NAM THÁI DƯƠNG,31/05/2021,12-18 triệu,Toàn thời gian,3 người,Trưởng nhóm,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
244,BACKEND DEVELOPER,Line Century,12/06/2021,Tới 50 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
245,NHÂN VIÊN KỸ THUẬT,CÔNG TY TNHH CÔNG NGHỆ HOÀNG MAI,30/06/2021,Trên 6 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
246,NHÂN VIÊN KINH DOANH,Công ty TNHH Công nghệ và Giải pháp CMC Sài Gòn,30/06/2021,8-15 triệu,Toàn thời gian,10 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
247,LẬP TRÌNH VIÊN JAVA,DAC Data Science Vietnam,06/06/2021,Tới 45 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
248,IT HELPDESK,Công ty TNHH CMC GLOBAL,06/06/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
249,NHÂN VIÊN CHĂM SÓC KHÁCH HÀNG,Công ty Cổ phần Công nghệ Irender Việt Nam,06/06/2021,Trên 10 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
250,Công ty TNHH CMC GLOBAL,,06/06/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
251,CONTENT MARKETING,MindX Technology School,11/06/2021,7-10 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
252,KẾ TOÁN VIÊN,Công Ty TNHH Thương Mại Và Sản Xuất MIT,06/06/2021,7-11 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Thủ Đức
253,SYSTEM ENGINEER,Công ty TNHH CMC GLOBAL,06/06/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
254,NHÂN VIÊN IT,Công Ty TNHH Thương Mại Và Sản Xuất MIT,06/06/2021, 8-16 triệu,Toàn thời gian,6 người,Nhân viên,Không yêu cầu,Không yêu cầu,Đồng Nai
255,NODEJS,Công ty Cổ phần Phần mềm Việt Quốc tế (VSII),06/07/2021,18-35 triệu,Toàn thời gian,2 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
256,CÔNG TY TNHH CUNG CẤP GIẢI PHÁP DỊCH VỤ GIÁ TRỊ GIA TĂNG (Vivas),,06/06/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
257,LẬP TRÌNH VIÊN,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,06/06/2021,Tới 30 triệu,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
258,REACTJS,Công ty Cổ phần Công nghệ Tin học và Dịch vụ Goline,12/05/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
259,NHÂN VIÊN KIỂM THỬ PHẦN MỀM,Công ty Cổ phần Công nghệ Tin học và Dịch vụ Goline,19/05/2021,10-15 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
260,DEVELOPER,Tập đoàn Sunshine - Sunshine Group,"6/06/2021
",Tới 30 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
261,NHÂN VIÊN MARKETING,CÔNG TY CỔ PHẦN MEGABIZ VIỆT NAM,06/06/2021,8-15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
262,LẬP TRÌNH VIÊN,CÔNG TY CỔ PHẦN CÔNG NGHỆ SUPERSOFT,07/06/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
263,NHÂN VIÊN KINH DOANH,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,06/06/2021,Tới 25 triệu,Toàn thời gian,5 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
264,PHP DEVELOPER,Công ty TNHH Relipa,06/06/2021,Tới 25 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
265,LẬP TRÌNH VIÊN,Công ty TNHH Relipa,06/06/2021,Tới 23 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
266,DEVELOPER,CÔNG TY TNHH SÁNG TẠO CÔNG NGHỆ AT,06/06/2021,Thoả thuận,Toàn thời gian,3 người,Thực tập sinh,Dưới 1 năm,Không yêu cầu,Hà Nội
267,WEB DEVELOPER,CÔNG TY TNHH SÁNG TẠO CÔNG NGHỆ AT,"6/06/2021
",Tới 30 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
268,ANDROID,IT FREELANDCER,23/05/2021,Tới 20 triệu,Bán thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
269,LẬP TRÌNH VIÊN,Thudo Multimedia,13/06/2021,Tới 30 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
270,CONTENT MARKETING,CÔNG TY TRÁCH NHIỆM HỮU HẠN ĐẦU TƯ USHOME,30/06/2021,Trên 12 triệu,Toàn thời gian,Không giới hạn,Nhân viên,4 năm,Không yêu cầu,Hồ Chí Minh
271,NHÂN VIÊN IT,Công ty TNHH Unitec Solution Việt Nam,02/06/2021,Trên 14 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
272,UI/UX DESIGNER,Công ty TNHH Linagora,12/06/2021,Tới 30 triệu,Toàn thời gian,1 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
273,DRUPAL,Công Ty Cổ Phần Tập đoàn Ominext,05/06/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
274,DATA ANALYST,CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM,09/07/2021,Tới 20 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
